subject session target block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_101 sess2 pfc 2 9 2 incompatible uncued_comp 2 4 right down 2 pink R R 1 Time-out 15 33 605 687 valid 2 non-match up d d 1 489
OGWM_101 sess2 pfc 2 10 3 neutral neut_incomp 3 2 up right X blue D  0 Time-out 77 545 No-move No-drop NA 2 non-match up d d 1 718
OGWM_101 sess2 pfc 2 11 3 neutral neut_comp 2 3 right up X orange U U 1 Time-out 1081 1097 1459 1459 NA 2 non-match down d d 1 890
OGWM_101 sess2 pfc 2 12 1 compatible cued_comp 1 2 left right 1 green L L 1 Time-out 9 2 1125 1223 valid 1 non-match down d d 1 671
OGWM_101 sess2 pfc 2 13 2 incompatible uncued_comp 4 3 down up 1 orange U U 1 Time-out 203 407 1599 1699 valid 1 non-match left d d 1 1821
OGWM_101 sess2 pfc 2 14 1 compatible cued_comp 1 3 left up 1 green L L 1 Time-out 9 43 1051 1149 valid 1 non-match up d d 1 965
OGWM_101 sess2 pfc 2 15 3 neutral neut_incomp 1 3 left up X pink R R 1 Time-out 13 449 863 997 NA 2 match up s s 1 1199
OGWM_101 sess2 pfc 2 16 3 neutral neut_comp 4 3 down up X orange U U 1 Time-out 9 295 1005 479 NA 2 non-match left d d 1 1080
OGWM_101 sess2 pfc 2 17 2 incompatible incomp 4 1 down left 1 pink R R 1 Time-out 933 967 1315 1315 invalid 2 non-match down d d 1 654
OGWM_101 sess2 pfc 2 18 1 compatible cued_comp 2 4 right down 2 blue D D 1 Time-out 107 441 881 997 valid 2 match down s s 1 1876
OGWM_101 sess2 pfc 2 19 1 compatible cued_comp 3 1 up left 2 green L U 0 Time-out 369 663 No-move 1559 valid 2 match left s s 1 626
OGWM_101 sess2 pfc 2 20 2 incompatible incomp 2 1 right left 2 orange U L 0 Time-out 417 503 No-move 847 valid 2 match left s s 1 763
OGWM_101 sess2 pfc 2 21 2 incompatible uncued_comp 3 2 up right 2 orange U U 1 Time-out 379 501 1419 1571 valid 2 non-match down d d 1 1413
OGWM_101 sess2 pfc 2 22 1 compatible cued_comp 1 2 left right 1 green L U 0 Time-out 437 487 745 845 valid 1 match left s s 1 895
OGWM_101 sess2 pfc 2 23 2 incompatible incomp 4 3 down up 2 pink R R 1 Time-out 513 617 919 983 valid 2 non-match right d s 0 1651
OGWM_101 sess2 pfc 2 24 3 neutral neut_comp 1 2 left right X green L L 1 Time-out 15 337 575 623 NA 2 match right s d 0 666
OGWM_101 sess2 pfc 2 25 2 incompatible incomp 3 4 up down 2 pink R R 1 Time-out 415 483 587 791 valid 2 match down s s 1 592
