subject session target block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102 sess2 pfc 2 6 1 compatible cued_comp 4 2 down right 2 pink R R 1 1450 897 915 1333 1333 valid 2 match right s s 1 443
OGWM_102 sess2 pfc 2 7 1 compatible cued_comp 2 1 right left 1 pink R R 1 970 521 555 745 897 valid 1 match right s s 1 706
OGWM_102 sess2 pfc 2 8 2 incompatible uncued_comp 4 3 down up 2 blue D D 1 1390 965 983 1243 1377 valid 2 match up s s 1 479
OGWM_102 sess2 pfc 2 9 3 neutral neut_incomp 3 2 up right X blue D D 1 1172 619 655 949 1099 NA 2 non-match left d d 1 525
OGWM_102 sess2 pfc 2 10 1 compatible cued_comp 2 3 right up 2 orange U U 1 896 263 627 715 849 valid 2 non-match left d d 1 545
OGWM_102 sess2 pfc 2 11 2 incompatible incomp 1 3 left up 2 pink R R 1 1412 907 941 1009 1279 invalid 1 non-match up d d 1 444
OGWM_102 sess2 pfc 2 12 1 compatible cued_comp 2 3 right up 1 pink R R 1 1050 449 519 895 1005 valid 1 match right s s 1 412
OGWM_102 sess2 pfc 2 13 2 incompatible incomp 1 4 left down 2 orange U U 1 964 435 451 811 909 valid 2 match down s s 1 621
OGWM_102 sess2 pfc 2 14 1 compatible cued_comp 4 2 down right 1 blue D D 1 1012 451 467 555 755 valid 1 match down s s 1 365
OGWM_102 sess2 pfc 2 15 3 neutral neut_incomp 3 2 up right X blue D D 1 862 429 463 671 735 NA 2 non-match left d d 1 470
OGWM_102 sess2 pfc 2 16 2 incompatible incomp 2 4 right down 1 orange U U 1 1884 883 1045 1183 1751 valid 1 non-match up d d 1 484
OGWM_102 sess2 pfc 2 17 2 incompatible incomp 1 2 left right 1 blue D D 1 1624 1135 1171 1431 1477 valid 1 non-match right d d 1 489
OGWM_102 sess2 pfc 2 18 2 incompatible incomp 3 4 up down 1 green L L 1 830 341 375 617 699 valid 1 non-match down d d 1 439
OGWM_102 sess2 pfc 2 19 2 incompatible incomp 2 4 right down 2 green L L 1 1534 1045 1097 1425 No-drop valid 2 match down s s 1 358
OGWM_102 sess2 pfc 2 20 2 incompatible uncued_comp 4 2 down right 1 pink R R 1 1296 703 755 1115 1247 valid 1 non-match up d d 1 434
OGWM_102 sess2 pfc 2 21 1 compatible cued_comp 1 2 left right 1 green L L 1 1030 405 491 859 1023 valid 1 non-match down d d 1 401
OGWM_102 sess2 pfc 2 22 3 neutral neut_comp 4 2 down right X pink R R 1 1320 911 929 1015 1131 NA 1 non-match left d d 1 369
OGWM_102 sess2 pfc 2 23 1 compatible cued_comp 1 4 left down 1 green L L 1 1930 1241 1259 1741 1930 valid 1 match left s s 1 363
OGWM_102 sess2 pfc 2 24 2 incompatible uncued_comp 3 2 up right 1 pink R R 1 692 387 407 475 557 valid 1 non-match down d d 1 805
OGWM_102 sess2 pfc 2 25 2 incompatible incomp 3 4 up down 1 green L L 1 966 421 455 747 915 valid 1 match up s s 1 382
OGWM_102 sess2 pfc 2 26 3 neutral neut_comp 1 4 left down X green L L 1 1518 1029 1063 1305 1371 NA 1 match left s s 1 416
OGWM_102 sess2 pfc 2 27 1 compatible cued_comp 4 1 down left 2 green L L 1 854 365 417 625 775 invalid 1 match down s s 1 463
OGWM_102 sess2 pfc 2 28 2 incompatible uncued_comp 1 2 left right 2 green L L 1 894 237 305 479 595 valid 2 match right s s 1 446
OGWM_102 sess2 pfc 2 29 3 neutral neut_comp 2 4 right down X pink R R 1 1076 699 717 803 903 NA 2 non-match up d d 1 637
OGWM_102 sess2 pfc 2 30 3 neutral neut_incomp 3 1 up left X pink R R 1 1092 475 509 821 851 NA 2 match left s s 1 436
OGWM_102 sess2 pfc 2 31 3 neutral neut_comp 3 2 up right X orange U U 1 1306 961 979 1117 1199 NA 1 non-match right d d 1 420
OGWM_102 sess2 pfc 2 32 2 incompatible incomp 2 3 right up 2 blue D D 1 1066 737 771 859 975 valid 2 non-match down d d 1 500
OGWM_102 sess2 pfc 2 33 3 neutral neut_incomp 4 2 down right X green L L 1 872 487 521 625 759 NA 1 match down s s 1 720
OGWM_102 sess2 pfc 2 34 1 compatible cued_comp 4 3 down up 2 orange U U 1 1260 747 781 869 1077 valid 2 match up s s 1 421
OGWM_102 sess2 pfc 2 35 1 compatible cued_comp 2 4 right down 2 blue D D 1 1028 635 653 739 975 valid 2 non-match up d d 1 493
OGWM_102 sess2 pfc 2 36 3 neutral neut_comp 1 3 left up X orange U U 1 856 199 413 739 739 NA 1 match left s s 1 553
OGWM_102 sess2 pfc 3 1 3 neutral neut_comp 1 3 left up X orange U U 1 962 473 509 595 781 NA 1 match left s s 1 444
OGWM_102 sess2 pfc 3 2 3 neutral neut_incomp 4 3 down up X green L L 1 1090 617 651 877 993 NA 1 match down s s 1 443
OGWM_102 sess2 pfc 3 3 3 neutral neut_comp 2 3 right up X pink R R 1 1426 977 1011 1253 1353 NA 2 match up s s 1 474
OGWM_102 sess2 pfc 3 4 3 neutral neut_comp 4 1 down left X green L L 1 832 463 479 601 821 NA 1 match down s s 1 417
OGWM_102 sess2 pfc 3 5 2 incompatible incomp 4 3 down up 2 pink R R 1 1752 1215 1231 1299 1663 invalid 1 match down s s 1 584
OGWM_102 sess2 pfc 3 6 2 incompatible incomp 3 1 up left 1 pink R R 1 1088 407 441 991 1057 valid 1 non-match left d d 1 506
OGWM_102 sess2 pfc 3 7 1 compatible cued_comp 1 4 left down 1 green L L 1 1350 941 975 1183 1317 valid 1 non-match right d d 1 630
OGWM_102 sess2 pfc 3 8 2 incompatible uncued_comp 1 4 left down 1 blue D D 1 1652 1027 1045 1129 1393 valid 1 match left s s 1 518
OGWM_102 sess2 pfc 3 9 1 compatible cued_comp 4 2 down right 1 blue D D 1 792 199 319 665 No-drop valid 1 non-match up d d 1 586
OGWM_102 sess2 pfc 3 10 1 compatible cued_comp 2 3 right up 1 pink R R 1 1034 521 573 937 No-drop valid 1 non-match up d d 1 555
OGWM_102 sess2 pfc 3 11 1 compatible cued_comp 4 2 down right 1 blue D D 1 964 507 541 749 No-drop valid 1 non-match left d s 0 565
OGWM_102 sess2 pfc 3 12 1 compatible cued_comp 3 1 up left 1 orange U U 1 1040 415 501 691 807 valid 1 match up s s 1 536
OGWM_102 sess2 pfc 3 13 2 incompatible incomp 2 3 right up 1 blue D D 1 954 105 261 775 No-drop valid 1 match right s s 1 635
OGWM_102 sess2 pfc 3 14 3 neutral neut_comp 1 4 left down X blue D D 1 1138 561 595 873 1041 NA 1 non-match down d d 1 746
OGWM_102 sess2 pfc 3 15 1 compatible cued_comp 2 3 right up 2 orange U U 1 1028 435 469 865 981 valid 2 match up s s 1 806
OGWM_102 sess2 pfc 3 16 2 incompatible incomp 3 4 up down 2 pink R  0 Time-out 1373 1407 No-move No-drop valid 2 match down s s 1 605
OGWM_102 sess2 pfc 3 17 1 compatible cued_comp 2 1 right left 2 green L L 1 941 412 464 638 684 valid 2 non-match down d d 1 462
OGWM_102 sess2 pfc 3 18 3 neutral neut_comp 4 2 down right X blue D D 1 1132 675 693 761 861 NA 2 non-match left d d 1 589
OGWM_102 sess2 pfc 3 19 2 incompatible uncued_comp 4 2 down right 1 pink R R 1 1422 925 959 1287 1419 valid 1 match down s s 1 511
OGWM_102 sess2 pfc 3 20 2 incompatible uncued_comp 3 2 up right 2 orange U U 1 1378 1025 1043 1213 1277 valid 2 match right s s 1 546
OGWM_102 sess2 pfc 3 21 2 incompatible incomp 1 2 left right 1 blue D D 1 1662 1021 1119 1171 1557 valid 1 non-match right d d 1 710
OGWM_102 sess2 pfc 3 22 1 compatible cued_comp 3 1 up left 2 green L L 1 1690 1185 1221 1549 1665 valid 2 non-match right d d 1 491
OGWM_102 sess2 pfc 3 23 1 compatible cued_comp 4 1 down left 2 green L L 1 1440 1015 1083 1223 1287 valid 2 non-match down d s 0 744
OGWM_102 sess2 pfc 3 24 3 neutral neut_incomp 1 4 left down X orange U U 1 1218 777 795 1073 1189 NA 2 non-match left d d 1 515
OGWM_102 sess2 pfc 3 25 1 compatible cued_comp 3 1 up left 2 green L L 1 1358 941 959 1205 1219 valid 2 non-match down d d 1 408
OGWM_102 sess2 pfc 3 26 3 neutral neut_incomp 2 1 right left X orange U U 1 1368 911 929 963 1275 NA 2 non-match down d d 1 584
OGWM_102 sess2 pfc 3 27 1 compatible cued_comp 2 4 right down 1 pink R R 1 1088 479 531 877 1011 valid 1 non-match left d d 1 465
OGWM_102 sess2 pfc 3 28 2 incompatible incomp 2 4 right down 2 green L L 1 1470 877 895 1257 1427 invalid 1 match right s s 1 656
