subject	session	target	block	trial	CurrentCondition	TrialType	CompType	CurrentSampleIndex_1	CurrentSampleIndex_2	CurrentSample_1	CurrentSample_2	CurrentCue	cueColor	correctResp	Resp	ACC	msecRT	move_init_msecRT	move_init_bound_msecRT	enter_box_msecRT	velocity_drop_msecRT	cueValidity	probe_loc	probeMatch	CurrentProbeSample	correctProbeResp	probeResp	probeACC	probemsecRT
OGWM_102	sess1	s1	2	3	3	neutral	neut_comp	2	3	right	up	X	pink	R	R	1	1434	257	557	1159	1189	NA	2	non-match	down	d	d	1	739
OGWM_102	sess1	s1	2	4	3	neutral	neut_incomp	2	3	right	up	X	blue	D	D	1	1084	243	535	847	1015	NA	2	non-match	right	d	s	0	693
OGWM_102	sess1	s1	2	5	3	neutral	neut_incomp	4	1	down	left	X	pink	R	R	1	1090	521	573	885	1019	NA	1	non-match	up	d	d	1	635
OGWM_102	sess1	s1	2	6	3	neutral	neut_comp	3	4	up	down	X	orange	U	U	1	1874	569	655	1643	1185	NA	2	match	down	s	d	0	994
OGWM_102	sess1	s1	2	7	3	neutral	neut_comp	3	1	up	left	X	orange	U	U	1	1530	489	523	1111	1227	NA	1	match	up	s	s	1	539
OGWM_102	sess1	s1	2	8	3	neutral	neut_comp	2	3	right	up	X	orange	U	U	1	1622	461	615	1383	1465	NA	2	non-match	right	d	d	1	687
OGWM_102	sess1	s1	2	9	2	incompatible	incomp	4	2	down	right	2	orange	U	U	1	1292	425	477	669	785	valid	2	non-match	up	d	NA	0	9999000
OGWM_102	sess1	s1	2	10	2	incompatible	uncued_comp	1	3	left	up	2	green	L	L	1	1676	603	757	1171	1287	valid	2	non-match	right	d	d	1	701
OGWM_102	sess1	s1	2	11	3	neutral	neut_incomp	1	4	left	down	X	pink	R	R	1	992	495	513	837	971	NA	2	non-match	up	d	d	1	1274
OGWM_102	sess1	s1	2	12	2	incompatible	uncued_comp	4	1	down	left	2	blue	D	D	1	926	189	491	595	745	valid	2	match	left	s	s	1	447
OGWM_102	sess1	s1	2	13	1	compatible	cued_comp	2	3	right	up	1	pink	R	R	1	942	349	491	785	885	valid	1	non-match	left	d	d	1	502
OGWM_102	sess1	s1	2	14	1	compatible	cued_comp	2	4	right	down	1	pink	R	R	1	962	89	261	505	639	invalid	2	match	down	s	s	1	1523
OGWM_102	sess1	s1	2	15	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	1014	373	425	615	755	valid	2	match	right	s	d	0	527
OGWM_102	sess1	s1	2	16	2	incompatible	incomp	4	1	down	left	1	orange	U	U	1	1706	337	637	1501	1241	valid	1	match	down	s	s	1	562
OGWM_102	sess1	s1	2	17	2	incompatible	incomp	2	3	right	up	1	green	L	L	1	1692	627	679	1025	1107	valid	1	non-match	left	d	d	1	661
OGWM_102	sess1	s1	2	18	2	incompatible	incomp	1	3	left	up	1	blue	D	D	1	1028	539	573	643	935	valid	1	non-match	up	d	d	1	860
OGWM_102	sess1	s1	2	19	2	incompatible	incomp	3	2	up	right	1	green	L	L	1	1066	569	655	965	1066	valid	1	non-match	left	d	d	1	530
OGWM_102	sess1	s1	2	20	1	compatible	cued_comp	1	3	left	up	2	orange	U	U	1	1340	267	473	1245	997	valid	2	match	up	s	s	1	671
OGWM_102	sess1	s1	2	21	3	neutral	neut_comp	2	4	right	down	X	blue	D	D	1	1090	681	717	821	1041	NA	1	match	right	s	s	1	508
OGWM_102	sess1	s1	2	22	1	compatible	cued_comp	1	4	left	down	1	green	L	L	1	944	511	563	823	921	valid	1	non-match	up	d	d	1	713
OGWM_102	sess1	s1	2	23	3	neutral	neut_incomp	4	1	down	left	X	orange	U	U	1	1004	419	489	799	949	NA	1	match	down	s	s	1	661
OGWM_102	sess1	s1	2	24	1	compatible	cued_comp	1	4	left	down	2	blue	D	D	1	820	371	423	613	781	valid	2	non-match	right	d	d	1	517
OGWM_102	sess1	s1	2	25	1	compatible	cued_comp	4	1	down	left	1	blue	D	D	1	872	487	505	625	741	valid	1	match	down	s	s	1	568
OGWM_102	sess1	s1	2	26	3	neutral	neut_comp	4	2	down	right	X	pink	R	R	1	1002	521	571	917	983	NA	2	non-match	up	d	d	1	282
OGWM_102	sess1	s1	2	27	1	compatible	cued_comp	4	1	down	left	1	blue	D	D	1	790	21	425	493	627	invalid	2	match	left	s	s	1	423
OGWM_102	sess1	s1	2	28	3	neutral	neut_incomp	1	3	left	up	X	pink	R	R	1	1462	1101	1119	1241	1373	NA	2	match	up	s	s	1	624
OGWM_102	sess1	s1	2	29	2	incompatible	incomp	3	2	up	right	2	green	L	L	1	1110	525	577	681	815	valid	2	match	right	s	d	0	1296
OGWM_102	sess1	s1	2	30	2	incompatible	uncued_comp	2	4	right	down	1	blue	D	D	1	1236	835	887	1147	No-drop	valid	1	non-match	left	d	d	1	1301
OGWM_102	sess1	s1	2	31	1	compatible	cued_comp	3	4	up	down	2	blue	D	D	1	920	471	505	799	847	valid	2	match	down	s	s	1	1266
OGWM_102	sess1	s1	2	32	1	compatible	cued_comp	2	3	right	up	1	pink	R	R	1	798	141	425	649	649	invalid	2	match	up	s	d	0	1351
OGWM_102	sess1	s1	2	33	2	incompatible	uncued_comp	1	2	left	right	1	pink	R	R	1	1248	703	721	1247	No-drop	valid	1	match	left	s	s	1	570
OGWM_102	sess1	s1	2	34	2	incompatible	incomp	3	1	up	left	2	pink	R	R	1	988	355	389	493	713	valid	2	non-match	up	d	d	1	1076
OGWM_102	sess1	s1	2	35	3	neutral	neut_incomp	4	2	down	right	X	orange	U	U	1	1026	11	477	873	989	NA	2	non-match	left	d	d	1	1779
OGWM_102	sess1	s1	2	36	2	incompatible	incomp	3	1	up	left	2	blue	D	D	1	1180	459	477	581	783	valid	2	non-match	right	d	s	0	1981
OGWM_102	sess1	s1	3	1	1	compatible	cued_comp	1	2	left	right	1	green	L	L	1	1068	17	373	665	995	valid	1	non-match	up	d	d	1	549
OGWM_102	sess1	s1	3	2	1	compatible	cued_comp	2	3	right	up	2	orange	U	U	1	1360	903	937	1231	1231	valid	2	match	up	s	s	1	936
OGWM_102	sess1	s1	3	3	3	neutral	neut_comp	3	1	up	left	X	orange	U	U	1	914	11	283	791	No-drop	NA	2	match	left	s	s	1	1083
OGWM_102	sess1	s1	3	4	3	neutral	neut_comp	1	4	left	down	X	blue	D	D	1	1072	351	531	651	731	NA	1	match	left	s	s	1	929
OGWM_102	sess1	s1	3	5	2	incompatible	incomp	3	2	up	right	1	blue	D	D	1	1220	51	697	1061	No-drop	valid	1	match	up	s	s	1	1013
OGWM_102	sess1	s1	3	6	2	incompatible	uncued_comp	1	3	left	up	2	green	L	L	1	988	411	567	637	875	valid	2	match	up	s	s	1	566
OGWM_102	sess1	s1	3	7	3	neutral	neut_incomp	3	4	up	down	X	green	L	L	1	1062	421	457	715	831	NA	2	non-match	left	d	s	0	504
OGWM_102	sess1	s1	3	8	3	neutral	neut_incomp	3	2	up	right	X	blue	D	D	1	1108	571	669	843	1097	NA	2	match	right	s	s	1	668
OGWM_102	sess1	s1	3	9	1	compatible	cued_comp	3	4	up	down	2	blue	D	D	1	866	19	225	473	683	valid	2	non-match	up	d	d	1	738
OGWM_102	sess1	s1	3	10	2	incompatible	incomp	4	1	down	left	1	orange	U	U	1	1308	1003	1037	1141	1241	invalid	2	non-match	up	d	d	1	765
OGWM_102	sess1	s1	3	11	2	incompatible	incomp	1	4	left	down	1	pink	R	R	1	1478	533	569	1357	1439	valid	1	non-match	down	d	s	0	776
OGWM_102	sess1	s1	3	12	2	incompatible	incomp	1	2	left	right	2	orange	U	U	1	1480	967	1019	1383	1383	valid	2	match	right	s	d	0	1337
OGWM_102	sess1	s1	3	13	1	compatible	cued_comp	4	1	down	left	1	blue	D	D	1	876	419	479	547	663	invalid	2	non-match	right	d	d	1	1253
OGWM_102	sess1	s1	3	14	3	neutral	neut_incomp	2	4	right	down	X	orange	U	U	1	1314	433	621	723	1117	NA	2	match	down	s	d	0	724
OGWM_102	sess1	s1	3	15	3	neutral	neut_comp	2	1	right	left	X	pink	R	R	1	1254	109	161	1045	701	NA	2	non-match	down	d	d	1	1856
OGWM_102	sess1	s1	3	16	3	neutral	neut_incomp	4	2	down	right	X	green	L	L	1	1622	1021	1089	1501	1583	NA	1	match	down	s	d	0	526
OGWM_102	sess1	s1	3	17	2	incompatible	incomp	2	1	right	left	1	orange	U	U	1	1594	17	33	1445	1169	valid	1	non-match	down	d	d	1	1923
OGWM_102	sess1	s1	3	18	3	neutral	neut_incomp	2	4	right	down	X	green	L		0	Time-out	259	1479	No-move	No-drop	NA	2	non-match	left	d	s	0	950
OGWM_102	sess1	s1	3	19	1	compatible	cued_comp	4	1	down	left	1	blue	D	D	1	959	430	482	690	754	valid	1	match	down	s	d	0	768
