subject	session	target	block	trial	CurrentCondition	TrialType	CompType	CurrentSampleIndex_1	CurrentSampleIndex_2	CurrentSample_1	CurrentSample_2	CurrentCue	cueColor	correctResp	Resp	ACC	msecRT	move_init_msecRT	move_init_bound_msecRT	enter_box_msecRT	velocity_drop_msecRT	cueValidity	probe_loc	probeMatch	CurrentProbeSample	correctProbeResp	probeResp	probeACC	probemsecRT
OGWM_101	sess2	pfc	1	1	3	neutral	neut_incomp	3	2	up	right	X	green	L	L	1	1436	89	869	1297	1362	NA	1	non-match	down	d	d	1	917
OGWM_101	sess2	pfc	1	2	3	neutral	neut_incomp	3	4	up	down	X	green	L	L	1	1590	277	543	1363	1463	NA	1	match	up	s	s	1	582
OGWM_101	sess2	pfc	1	3	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	864	463	479	735	815	valid	1	match	left	s	s	1	744
OGWM_101	sess2	pfc	1	4	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	1282	449	517	1165	No-drop	valid	1	non-match	right	d	d	1	835
OGWM_101	sess2	pfc	1	5	2	incompatible	incomp	2	3	right	up	2	green	L	L	1	696	264	394	464	528	valid	2	match	up	s	s	1	1147
OGWM_101	sess2	pfc	1	6	2	incompatible	incomp	1	3	left	up	2	pink	R	R	1	1044	61	361	985	No-drop	valid	2	match	up	s	s	1	742
OGWM_101	sess2	pfc	1	7	2	incompatible	incomp	3	2	up	right	1	green	L	L	1	776	17	121	535	601	valid	1	match	up	s	s	1	441
OGWM_101	sess2	pfc	1	8	2	incompatible	incomp	3	4	up	down	1	pink	R	R	1	872	63	457	699	801	valid	1	match	up	s	s	1	712
OGWM_101	sess2	pfc	1	9	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	892	387	423	509	743	invalid	2	non-match	left	d	d	1	981
OGWM_101	sess2	pfc	1	10	3	neutral	neut_comp	4	1	down	left	X	green	L	L	1	1398	389	441	1241	1289	NA	2	non-match	right	d	d	1	1991
