,subject,target,BlockType,TrialType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4
54,OGWM_105,PFC_cTBS,invalid,compatible,7.0,496.75,634.3333333333334,778.9166666666666,861.8333333333334,1.0,455.5416666666667,1.0,0.0,0.041666666666666664,12.58008062132412,-3.375728545912242,4.292176232597946,8.346508597506975
55,OGWM_105,PFC_cTBS,invalid,incompatible,7.0,499.9047619047619,694.6666666666666,798.3571428571429,908.8214285714286,1.0,119522.66666666667,0.9761904761904762,0.09523809523809523,0.17857142857142858,16.227561421675663,21.37205739953827,13.891074791075182,19.409214463040275
56,OGWM_105,PFC_cTBS,neutral,compatible,2.0,478.64814814814815,616.1851851851852,722.6111111111111,833.1296296296297,1.0,452.9259259259259,1.0,0.018518518518518517,0.037037037037037035,-14.696011688472023,-2.0729897103203125,5.04463680533665,6.613149784502398
57,OGWM_105,PFC_cTBS,neutral,incompatible,2.0,505.05555555555554,703.574074074074,798.6666666666666,913.5555555555555,1.0,464.98148148148147,1.0,0.1111111111111111,0.14814814814814814,-10.463480457552135,5.816427305744334,15.867868900725377,21.62752458729601
58,OGWM_105,PFC_cTBS,valid,compatible,6.0,483.1666666666667,608.6904761904761,721.8809523809524,819.4761904761905,1.0,478.8452380952381,0.9880952380952381,0.023809523809523808,0.023809523809523808,6.803840189719061,2.171634964137295,4.547177750944799,5.804172460305994
59,OGWM_105,PFC_cTBS,valid,incompatible,6.0,483.25,701.25,775.125,899.25,1.0,472.2916666666667,1.0,0.16666666666666666,0.16666666666666666,13.892626125739383,0.10809368574453515,17.294003019971147,20.095958433133664
60,OGWM_105,PFC_iTBS,invalid,compatible,4.086956521739131,486.2173913043478,631.5217391304348,752.3913043478261,863.0434782608696,1.0,510.7826086956522,0.9565217391304348,0.043478260869565216,0.043478260869565216,-33.993470589088744,-47.79723528015908,7.682094520711641,9.815387212840731
61,OGWM_105,PFC_iTBS,invalid,incompatible,3.976470588235294,553.9529411764706,762.4941176470588,846.9156626506024,997.8941176470588,1.0,507.8705882352941,0.9882352941176471,0.07058823529411765,0.10588235294117647,45.486480908113656,51.11779219490944,14.189429512024352,17.49819195211228
62,OGWM_105,PFC_iTBS,neutral,compatible,4.666666666666667,474.5925925925926,630.8333333333334,755.2962962962963,876.8148148148148,1.0,459.27777777777777,1.0,0.018518518518518517,0.018518518518518517,18.202414977271797,24.81265330795823,4.512634133026169,5.847150845764729
63,OGWM_105,PFC_iTBS,neutral,incompatible,4.666666666666667,534.2407407407408,714.2962962962963,837.622641509434,942.5,1.0,528.0925925925926,1.0,0.05555555555555555,0.09259259259259259,64.22666052037835,49.68914376223624,11.766724971897636,17.378812327398773
64,OGWM_105,PFC_iTBS,valid,compatible,6.333333333333333,507.1547619047619,636.2409638554217,752.843373493976,860.566265060241,0.9880952380952381,491.67857142857144,0.9761904761904762,0.05952380952380952,0.07142857142857142,-4.174478246841651,-12.847836407436777,10.353839868554713,11.115227972560762
65,OGWM_105,PFC_iTBS,valid,incompatible,6.333333333333333,536.4166666666666,689.3333333333334,780.25,894.8333333333334,1.0,514.6666666666666,1.0,0.08333333333333333,0.125,15.183316866647601,28.72269999962128,10.131987311986455,12.006806926444659
66,OGWM_105,no_TMS,invalid,compatible,5.913043478260869,516.4782608695652,699.695652173913,766.7391304347826,878.8695652173913,1.0,505.7391304347826,0.9565217391304348,0.08695652173913043,0.08695652173913043,37.96196782599075,52.38446316599763,10.256711043503355,11.575672065538162
67,OGWM_105,no_TMS,invalid,incompatible,6.023529411764706,518.7647058823529,668.0,766.6470588235294,878.5882352941177,1.0,483.88235294117646,0.9764705882352941,0.058823529411764705,0.08235294117647059,5.307091013239717,10.131266129237817,8.076169899093431,10.504848424749746
68,OGWM_105,no_TMS,neutral,compatible,3.3333333333333335,476.4074074074074,626.6851851851852,724.0,847.7777777777778,1.0,505.35185185185185,1.0,0.037037037037037035,0.037037037037037035,39.425429651864654,38.65093623639861,6.349337677867005,7.516477268739264
69,OGWM_105,no_TMS,neutral,incompatible,3.3333333333333335,503.35185185185185,682.5185185185185,768.9629629629629,873.2592592592592,1.0,512.3148148148148,0.9814814814814815,0.07407407407407407,0.09259259259259259,72.96218950808849,50.96162932672932,9.202046998076595,12.397911387025006
70,OGWM_105,no_TMS,valid,compatible,5.666666666666667,470.5238095238095,618.0952380952381,710.0361445783133,805.7619047619048,1.0,509.1666666666667,1.0,0.03571428571428571,0.047619047619047616,29.362124540373095,10.36455033525486,6.091730004036693,8.684133598621926
71,OGWM_105,no_TMS,valid,incompatible,5.666666666666667,514.0416666666666,674.4583333333334,784.5416666666666,861.7083333333334,1.0,497.1666666666667,1.0,0.125,0.125,25.934080700451148,39.377557071458035,14.587907322148183,16.712709535771562
72,OGWM_106,PFC_cTBS,invalid,compatible,5.130434782608695,572.3913043478261,943.8695652173913,1038.0,1139.2727272727273,0.9565217391304348,435542.52173913043,0.8260869565217391,0.043478260869565216,0.21739130434782608,-46.005821634924594,-29.97351007015036,10.414103190506887,27.680603116915737
73,OGWM_106,PFC_cTBS,invalid,incompatible,4.964705882352941,639.4588235294118,922.5176470588235,1027.9871794871794,1178.9634146341464,0.9647058823529412,236035.16470588234,0.8941176470588236,0.07058823529411765,0.1411764705882353,-23.202056753376496,-12.782473946117419,15.303032280924791,23.420097401405005
74,OGWM_106,PFC_cTBS,neutral,compatible,4.0,542.3584905660377,767.9615384615385,905.84,1057.4615384615386,0.9629629629629629,790.0185185185185,0.9629629629629629,0.018518518518518517,0.09259259259259259,-15.06615804394706,-1.6512615001936697,11.559574534875052,21.443423322747414
75,OGWM_106,PFC_cTBS,neutral,incompatible,4.0,638.925925925926,880.9807692307693,1012.75,1075.0,0.9259259259259259,185940.2037037037,0.9629629629629629,0.07407407407407407,0.2037037037037037,-15.271560666474713,-21.34957041708161,13.493610181644671,21.61748505631149
76,OGWM_106,PFC_cTBS,valid,compatible,5.976470588235294,628.5411764705882,903.1309523809524,983.1333333333333,1144.6785714285713,0.9764705882352941,353730.4705882353,0.9058823529411765,0.023529411764705882,0.07058823529411765,5.339188133695943,-0.21269318077735874,10.837401146993644,16.679709207917654
