,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT
225,OGWM_114,PFC_iTBS,incompatible,invalid,6.961538461538462,549.2179487179487,743.6153846153846,862.2307692307693,1042.6153846153845,1.0,721.4871794871794,0.9871794871794872,0.01282051282051282,0.07692307692307693,13.367066449212908,11.433521168095995,6.124842402574024,12.781799618086174,493.3974358974359
226,OGWM_114,PFC_iTBS,incompatible,neutral,4.2,549.98,784.74,906.42,1076.14,1.0,712.58,1.0,0.02,0.04,17.321834165786687,11.922212519816982,7.9382017122282695,11.389914091796136,526.16
227,OGWM_114,PFC_iTBS,incompatible,valid,3.772727272727273,519.1363636363636,733.0454545454545,871.5909090909091,1082.8636363636363,1.0,673.1363636363636,1.0,0.045454545454545456,0.13636363636363635,19.117524570341114,13.435386735714228,9.883847459107711,20.37575393248288,563.7272727272727
228,OGWM_114,no_TMS,compatible,invalid,7.956521739130435,472.8695652173913,639.7391304347826,796.5217391304348,963.3478260869565,1.0,675.6086956521739,1.0,0.0,0.0,99.65564414609565,97.41540941722062,5.750022354335041,8.39934428546404,490.4782608695652
229,OGWM_114,no_TMS,compatible,neutral,2.3333333333333335,482.75925925925924,682.6666666666666,801.6111111111111,964.574074074074,1.0,720.0555555555555,1.0,0.0,0.0,6.8581079733497825,33.230531788243496,4.4891011230804585,5.922931478683977,481.81481481481484
230,OGWM_114,no_TMS,compatible,valid,4.646341463414634,468.0,691.780487804878,785.5432098765432,968.5731707317074,1.0,689.9878048780488,0.9634146341463414,0.06097560975609756,0.12195121951219512,-33.96003807978852,-25.72963798195141,12.021696577458238,17.91361213503437,500.5731707317073
231,OGWM_114,no_TMS,incompatible,invalid,7.974683544303797,533.6582278481013,780.746835443038,904.4683544303797,1106.632911392405,1.0,689.3164556962025,1.0,0.0759493670886076,0.1518987341772152,-2.2080790304769606,9.858422875807538,15.068242518574477,24.428384247910603,572.9746835443038
232,OGWM_114,no_TMS,incompatible,neutral,2.3653846153846154,515.0192307692307,713.0192307692307,837.0576923076923,1003.1538461538462,1.0,606.8076923076923,0.9807692307692307,0.019230769230769232,0.019230769230769232,-10.249670490183737,35.593888094444914,8.514837432527376,8.285206415487297,488.13461538461536
233,OGWM_114,no_TMS,incompatible,valid,4.578947368421052,508.4736842105263,792.3684210526316,925.9473684210526,1052.1052631578948,1.0,713.1052631578947,1.0,0.05263157894736842,0.10526315789473684,19.373158970536345,23.53419107756159,15.1024572506303,27.17692182829227,543.6315789473684
234,OGWM_115,PFC_cTBS,compatible,invalid,5.666666666666667,485.85714285714283,681.5714285714286,779.625,822.5714285714286,1.0,602.1904761904761,1.0,0.0,0.0,26.52611078990743,27.294215988925533,3.907063997880285,4.630775152857966,336.7142857142857
