subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_106 sess_3 PFC_iTBS 1 1 neutral 1 compatible 4 down blue D D 1 1005 433 501 860 957 d d 1 623
OGWM_106 sess_3 PFC_iTBS 1 2 neutral 1 compatible 3 up orange U U 1 780 420 506 591 681 s s 1 498
OGWM_106 sess_3 PFC_iTBS 1 3 neutral 1 compatible 3 up orange U U 1 1613 1324 1342 1480 1580 d d 1 546
OGWM_106 sess_3 PFC_iTBS 1 4 neutral 2 incompatible 4 down green L L 1 940 379 395 726 789 s s 1 513
OGWM_106 sess_3 PFC_iTBS 1 5 neutral 2 incompatible 1 left orange U U 1 796 531 547 669 785 s s 1 648
OGWM_106 sess_3 PFC_iTBS 1 6 neutral 2 incompatible 3 up pink R R 1 1302 389 407 1168 1285 s s 1 651
OGWM_106 sess_3 PFC_iTBS 1 7 neutral 2 incompatible 3 up pink R R 1 1008 471 625 831 831 d d 1 597
OGWM_106 sess_3 PFC_iTBS 1 8 neutral 2 incompatible 4 down green L L 1 1116 731 767 871 951 d d 1 418
OGWM_106 sess_3 PFC_iTBS 1 9 neutral 1 compatible 3 up orange U U 1 1112 471 489 1001 1101 s s 1 541
OGWM_106 sess_3 PFC_iTBS 1 10 neutral 1 compatible 3 up orange U U 1 1062 533 569 983 1013 s s 1 900
OGWM_106 sess_3 PFC_iTBS 1 11 neutral 2 incompatible 3 up pink R R 1 1094 645 663 785 965 d d 1 444
OGWM_106 sess_3 PFC_iTBS 1 12 neutral 2 incompatible 4 down pink R R 1 898 329 379 657 531 s s 1 615
OGWM_106 sess_3 PFC_iTBS 1 13 neutral 2 incompatible 4 down green L L 1 1414 925 993 1095 1195 d d 1 586
OGWM_106 sess_3 PFC_iTBS 1 14 neutral 1 compatible 4 down blue D D 1 1242 497 601 1139 1239 s d 0 671
OGWM_106 sess_3 PFC_iTBS 1 15 neutral 2 incompatible 1 left pink R R 1 1044 67 583 893 959 d s 0 920
OGWM_106 sess_3 PFC_iTBS 1 16 neutral 2 incompatible 3 up pink R R 1 962 241 493 825 957 s s 1 472
OGWM_106 sess_3 PFC_iTBS 1 17 neutral 2 incompatible 1 left blue D D 1 892 403 437 749 847 s s 1 705
OGWM_106 sess_3 PFC_iTBS 1 18 neutral 1 compatible 2 right pink R R 1 756 443 461 563 627 s s 1 601
OGWM_106 sess_3 PFC_iTBS 1 19 neutral 1 compatible 1 left green L L 1 928 439 611 749 865 d d 1 461
OGWM_106 sess_3 PFC_iTBS 1 20 neutral 2 incompatible 3 up pink R R 1 1226 553 587 675 755 s s 1 735
OGWM_106 sess_3 PFC_iTBS 1 21 neutral 1 compatible 1 left green L L 1 1024 543 579 907 1024 s s 1 614
OGWM_106 sess_3 PFC_iTBS 1 22 neutral 1 compatible 2 right pink R R 1 1508 995 1013 1383 1383 d d 1 594
OGWM_106 sess_3 PFC_iTBS 1 23 neutral 2 incompatible 1 left orange U U 1 1010 593 661 885 985 d d 1 471
OGWM_106 sess_3 PFC_iTBS 1 24 neutral 1 compatible 2 right pink R R 1 946 521 557 815 897 d d 1 792
OGWM_106 sess_3 PFC_iTBS 1 25 neutral 1 compatible 2 right pink R R 1 1080 535 587 967 979 d d 1 612
OGWM_106 sess_3 PFC_iTBS 1 26 neutral 1 compatible 1 left green L L 1 1620 1123 1157 1445 1579 d d 1 545
OGWM_106 sess_3 PFC_iTBS 1 27 neutral 1 compatible 2 right pink R R 1 1194 721 789 1101 1147 s d 0 431
OGWM_106 sess_3 PFC_iTBS 1 28 neutral 2 incompatible 2 right blue D D 1 1030 493 509 937 No-drop d d 1 907
OGWM_106 sess_3 PFC_iTBS 1 29 neutral 2 incompatible 4 down orange U U 1 1078 301 463 981 1063 d d 1 547
OGWM_106 sess_3 PFC_iTBS 1 30 neutral 1 compatible 4 down blue D D 1 1540 1107 1125 1331 1413 s s 1 834
OGWM_106 sess_3 PFC_iTBS 1 31 neutral 2 incompatible 2 right green L L 1 1566 1037 1089 1433 1533 s s 1 612
OGWM_106 sess_3 PFC_iTBS 1 32 neutral 1 compatible 1 left green L L 1 882 49 431 767 767 d d 1 664
OGWM_106 sess_3 PFC_iTBS 1 33 neutral 2 incompatible 2 right blue D D 1 1708 563 599 703 835 s s 1 794
OGWM_106 sess_3 PFC_iTBS 1 34 neutral 1 compatible 2 right pink R R 1 1106 761 795 933 1067 d d 1 439
OGWM_106 sess_3 PFC_iTBS 1 35 neutral 2 incompatible 4 down pink R R 1 1444 947 981 1311 1427 s s 1 609
OGWM_106 sess_3 PFC_iTBS 1 36 neutral 1 compatible 1 left green L L 1 1744 1143 1177 1681 1711 d d 1 542
OGWM_106 sess_3 PFC_iTBS 2 1 valid 1 compatible 4 down blue D D 1 798 509 527 629 727 d d 1 475
OGWM_106 sess_3 PFC_iTBS 2 2 valid 1 compatible 3 up orange U U 1 679 334 352 510 674 d d 1 445
OGWM_106 sess_3 PFC_iTBS 2 3 valid 1 compatible 4 down blue D D 1 882 441 459 683 835 s s 1 495
OGWM_106 sess_3 PFC_iTBS 2 4 valid 1 compatible 3 up orange U U 1 834 449 467 727 825 d d 1 400
OGWM_106 sess_3 PFC_iTBS 2 5 valid 1 compatible 1 left green L L 1 1070 301 405 953 No-drop s s 1 540
OGWM_106 sess_3 PFC_iTBS 2 6 valid 1 compatible 4 down blue D D 1 958 477 511 855 No-drop s s 1 731
OGWM_106 sess_3 PFC_iTBS 2 7 valid 1 compatible 1 left green L L 1 924 355 415 725 725 s s 1 594
OGWM_106 sess_3 PFC_iTBS 2 8 valid 1 compatible 2 right pink R R 1 850 313 571 659 741 s d 0 503
OGWM_106 sess_3 PFC_iTBS 2 9 valid 1 compatible 2 right pink R R 1 1594 841 875 1281 1281 d d 1 582
OGWM_106 sess_3 PFC_iTBS 2 10 valid 2 incompatible 4 down pink R R 1 1622 1061 1113 1527 No-drop s s 1 579
OGWM_106 sess_3 PFC_iTBS 2 11 valid 1 compatible 1 left green L L 1 940 275 377 735 835 s s 1 577
OGWM_106 sess_3 PFC_iTBS 2 12 valid 1 compatible 2 right pink R R 1 776 335 371 439 521 d d 1 598
OGWM_106 sess_3 PFC_iTBS 2 13 valid 1 compatible 2 right pink R R 1 1006 461 495 547 875 s s 1 650
OGWM_106 sess_3 PFC_iTBS 2 14 valid 1 compatible 1 left green L L 1 752 335 439 577 675 s s 1 557
OGWM_106 sess_3 PFC_iTBS 2 15 valid 2 incompatible 3 up pink R R 1 1754 861 895 947 1754 s s 1 579
OGWM_106 sess_3 PFC_iTBS 2 16 valid 1 compatible 3 up orange U U 1 682 153 447 533 651 d d 1 400
OGWM_106 sess_3 PFC_iTBS 2 17 valid 1 compatible 4 down blue D D 1 1646 1157 1209 1491 1557 s s 1 540
OGWM_106 sess_3 PFC_iTBS 2 18 valid 1 compatible 2 right pink R R 1 934 469 503 817 933 d d 1 571
OGWM_106 sess_3 PFC_iTBS 2 19 valid 1 compatible 1 left green L L 1 1314 961 1013 1101 1217 d d 1 480
OGWM_106 sess_3 PFC_iTBS 2 20 valid 1 compatible 3 up orange U U 1 1604 995 1081 1461 1507 d d 1 881
OGWM_106 sess_3 PFC_iTBS 2 21 valid 1 compatible 3 up orange U U 1 1222 789 839 1013 1077 s s 1 602
OGWM_106 sess_3 PFC_iTBS 2 22 valid 2 incompatible 2 right blue D D 1 1626 1249 1265 1421 1503 s s 1 671
OGWM_106 sess_3 PFC_iTBS 2 23 valid 1 compatible 1 left green L L 1 1410 1009 1061 1199 1333 d d 1 592
OGWM_106 sess_3 PFC_iTBS 2 24 valid 2 incompatible 1 left blue D D 1 880 407 561 803 No-drop d d 1 445
OGWM_106 sess_3 PFC_iTBS 2 25 valid 2 incompatible 1 left pink R R 1 1330 505 539 591 707 d d 1 415
OGWM_106 sess_3 PFC_iTBS 2 26 valid 1 compatible 3 up orange U U 1 1006 757 775 861 993 s s 1 627
OGWM_106 sess_3 PFC_iTBS 2 27 valid 2 incompatible 4 down pink R R 1 738 393 445 547 629 s s 1 495
OGWM_106 sess_3 PFC_iTBS 2 28 valid 1 compatible 1 left green L L 1 1066 665 717 925 1059 d d 1 808
OGWM_106 sess_3 PFC_iTBS 2 29 valid 1 compatible 2 right pink R R 1 1110 477 511 581 645 d d 1 524
OGWM_106 sess_3 PFC_iTBS 2 30 valid 1 compatible 3 up orange U U 1 1374 957 973 1009 1237 s s 1 467
OGWM_106 sess_3 PFC_iTBS 2 31 valid 2 incompatible 2 right blue D D 1 934 573 591 803 903 s s 1 436
OGWM_106 sess_3 PFC_iTBS 2 32 valid 1 compatible 2 right pink R R 1 986 577 611 817 865 d d 1 487
OGWM_106 sess_3 PFC_iTBS 2 33 valid 1 compatible 4 down blue D D 1 1050 601 701 821 955 d d 1 623
OGWM_106 sess_3 PFC_iTBS 2 34 valid 1 compatible 3 up orange U U 1 918 645 661 765 865 s s 1 667
OGWM_106 sess_3 PFC_iTBS 2 35 valid 2 incompatible 4 down orange U U 1 1814 1125 1161 1229 1697 d d 1 588
OGWM_106 sess_3 PFC_iTBS 2 36 valid 1 compatible 4 down blue D D 1 1180 843 859 997 1061 d d 1 457
OGWM_106 sess_3 PFC_iTBS 3 1 neutral 2 incompatible 2 right orange U U 1 748 379 463 617 735 s s 1 634
OGWM_106 sess_3 PFC_iTBS 3 2 neutral 2 incompatible 4 down green L L 1 1032 671 705 825 929 d d 1 445
OGWM_106 sess_3 PFC_iTBS 3 3 neutral 2 incompatible 4 down pink R R 1 1258 737 789 1133 1233 d d 1 512
OGWM_106 sess_3 PFC_iTBS 3 4 neutral 1 compatible 2 right pink R R 1 1554 985 1053 1279 1343 s s 1 1016
OGWM_106 sess_3 PFC_iTBS 3 5 neutral 1 compatible 1 left green L L 1 1622 1301 1353 1473 1607 d d 1 563
OGWM_106 sess_3 PFC_iTBS 3 6 neutral 1 compatible 3 up orange U U 1 1228 907 923 993 1161 d d 1 561
OGWM_106 sess_3 PFC_iTBS 3 7 neutral 1 compatible 1 left green L L 1 1106 817 833 921 1019 s s 1 807
OGWM_106 sess_3 PFC_iTBS 3 8 neutral 1 compatible 3 up orange U U 1 950 413 429 877 907 s s 1 523
OGWM_106 sess_3 PFC_iTBS 3 9 neutral 1 compatible 4 down blue D D 1 1524 83 1117 1255 1355 d d 1 514
OGWM_106 sess_3 PFC_iTBS 3 10 neutral 1 compatible 3 up orange U U 1 828 451 469 711 811 d d 1 570
OGWM_106 sess_3 PFC_iTBS 3 11 neutral 2 incompatible 3 up blue D D 1 1642 1073 1107 1507 1625 d d 1 519
OGWM_106 sess_3 PFC_iTBS 3 12 neutral 2 incompatible 1 left blue D D 1 1618 1121 1211 1383 1499 d d 1 575
OGWM_106 sess_3 PFC_iTBS 3 13 neutral 1 compatible 2 right pink R R 1 1150 693 729 953 1053 d d 1 700
OGWM_106 sess_3 PFC_iTBS 3 14 neutral 2 incompatible 2 right blue D D 1 1398 1037 1073 1211 1275 s s 1 1244
OGWM_106 sess_3 PFC_iTBS 3 15 neutral 2 incompatible 2 right blue D D 1 1082 425 459 563 765 d d 1 983
OGWM_106 sess_3 PFC_iTBS 3 16 neutral 1 compatible 1 left green L L 1 662 101 153 471 603 d d 1 916
OGWM_106 sess_3 PFC_iTBS 3 17 neutral 1 compatible 2 right pink R R 1 1462 797 849 1335 1401 d d 1 922
OGWM_106 sess_3 PFC_iTBS 3 18 neutral 1 compatible 3 up orange U U 1 828 371 389 703 801 s s 1 826
OGWM_106 sess_3 PFC_iTBS 3 19 neutral 2 incompatible 4 down pink R R 1 1040 423 475 961 No-drop s s 1 909
OGWM_106 sess_3 PFC_iTBS 3 20 neutral 1 compatible 1 left green L L 1 1360 823 857 1301 1301 s s 1 1102
OGWM_106 sess_3 PFC_iTBS 3 21 neutral 2 incompatible 2 right orange U U 1 1416 487 521 659 743 s s 1 925
OGWM_106 sess_3 PFC_iTBS 3 22 neutral 2 incompatible 1 left pink R R 1 1048 479 513 755 821 d d 1 757
OGWM_106 sess_3 PFC_iTBS 3 23 neutral 1 compatible 3 up orange U U 1 878 405 439 713 863 s s 1 1035
OGWM_106 sess_3 PFC_iTBS 3 24 neutral 2 incompatible 3 up blue D D 1 1280 943 961 1099 1233 s s 1 718
OGWM_106 sess_3 PFC_iTBS 3 25 neutral 1 compatible 3 up orange U U 1 896 431 465 603 875 s s 1 485
OGWM_106 sess_3 PFC_iTBS 3 26 neutral 2 incompatible 1 left blue D D 1 1328 303 373 737 1235 d d 1 974
OGWM_106 sess_3 PFC_iTBS 3 27 neutral 1 compatible 4 down blue D D 1 950 509 543 767 815 d d 1 827
OGWM_106 sess_3 PFC_iTBS 3 28 neutral 2 incompatible 4 down pink R R 1 832 471 489 575 641 d d 1 894
OGWM_106 sess_3 PFC_iTBS 3 29 neutral 2 incompatible 4 down green L L 1 1010 465 549 885 No-drop s s 1 575
OGWM_106 sess_3 PFC_iTBS 3 30 neutral 2 incompatible 1 left pink R R 1 982 509 561 839 903 s a 0 940
OGWM_106 sess_3 PFC_iTBS 3 31 neutral 1 compatible 4 down blue D D 1 1062 501 535 861 943 s s 1 1171
OGWM_106 sess_3 PFC_iTBS 3 32 neutral 2 incompatible 1 left blue D D 1 874 473 491 681 779 d d 1 416
OGWM_106 sess_3 PFC_iTBS 3 33 neutral 2 incompatible 2 right orange U U 1 1014 573 591 659 809 s s 1 1020
OGWM_106 sess_3 PFC_iTBS 3 34 neutral 1 compatible 4 down blue D D 1 986 473 507 835 951 d d 1 759
OGWM_106 sess_3 PFC_iTBS 3 35 neutral 1 compatible 2 right pink R R 1 1016 575 609 895 977 s s 1 933
OGWM_106 sess_3 PFC_iTBS 3 36 neutral 2 incompatible 3 up pink R R 1 1014 421 439 827 857 s s 1 467
OGWM_106 sess_3 PFC_iTBS 4 1 valid 1 compatible 4 down blue D D 1 670 69 357 547 595 s s 1 508
OGWM_106 sess_3 PFC_iTBS 4 2 valid 2 incompatible 3 up blue D D 1 918 493 511 787 No-drop d d 1 500
OGWM_106 sess_3 PFC_iTBS 4 3 valid 1 compatible 1 left green L L 1 822 421 489 697 797 d d 1 636
OGWM_106 sess_3 PFC_iTBS 4 4 valid 1 compatible 2 right pink R R 1 1554 1169 1185 1427 1545 d d 1 558
OGWM_106 sess_3 PFC_iTBS 4 5 valid 2 incompatible 1 left orange U U 1 784 535 551 639 737 s s 1 1084
OGWM_106 sess_3 PFC_iTBS 4 6 valid 2 incompatible 3 up pink R R 1 1312 871 889 1203 1285 s s 1 517
OGWM_106 sess_3 PFC_iTBS 4 7 valid 1 compatible 3 up orange U U 1 1296 807 823 1187 1285 s s 1 677
OGWM_106 sess_3 PFC_iTBS 4 8 valid 1 compatible 2 right pink R R 1 912 439 475 543 689 s s 1 430
OGWM_106 sess_3 PFC_iTBS 4 9 valid 1 compatible 3 up orange U U 1 1404 1123 1141 1245 1361 s s 1 386
OGWM_106 sess_3 PFC_iTBS 4 10 valid 1 compatible 2 right pink R R 1 1480 719 795 951 1305 d d 1 678
OGWM_106 sess_3 PFC_iTBS 4 11 valid 1 compatible 4 down blue D D 1 1594 1249 1267 1387 1521 s s 1 623
OGWM_106 sess_3 PFC_iTBS 4 12 valid 1 compatible 1 left green L L 1 958 525 575 849 931 s s 1 555
