subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_107 sess_2 PFC_cTBS 1 1 neutral 2 incompatible 3 up pink R R 1 1197 570 630 995 1146 s s 1 593
OGWM_107 sess_2 PFC_cTBS 1 2 neutral 2 incompatible 2 right green L L 1 1322 472 628 801 1112 d d 1 1790
OGWM_107 sess_2 PFC_cTBS 1 3 neutral 1 compatible 2 right pink R R 1 933 348 418 764 862 s s 1 643
OGWM_107 sess_2 PFC_cTBS 1 4 neutral 1 compatible 3 up orange U U 1 1016 607 641 797 983 d d 1 517
OGWM_107 sess_2 PFC_cTBS 1 5 neutral 2 incompatible 2 right green L L 1 1128 735 751 855 1037 d d 1 549
OGWM_107 sess_2 PFC_cTBS 1 6 neutral 1 compatible 2 right pink R R 1 942 573 589 727 845 s s 1 827
OGWM_107 sess_2 PFC_cTBS 1 7 neutral 2 incompatible 2 right orange U U 1 1112 719 737 927 1095 s s 1 886
OGWM_107 sess_2 PFC_cTBS 1 8 neutral 1 compatible 4 down blue D D 1 1826 689 757 1679 1813 d d 1 558
OGWM_107 sess_2 PFC_cTBS 1 9 neutral 1 compatible 1 left green L L 1 896 511 563 769 867 s s 1 501
OGWM_107 sess_2 PFC_cTBS 1 10 neutral 1 compatible 1 left green L L 1 1016 591 607 779 861 s s 1 756
OGWM_107 sess_2 PFC_cTBS 1 11 neutral 1 compatible 1 left green L L 1 1358 813 901 1175 1275 d d 1 610
OGWM_107 sess_2 PFC_cTBS 1 12 neutral 2 incompatible 1 left blue D D 1 850 441 475 595 781 d d 1 694
OGWM_107 sess_2 PFC_cTBS 1 13 neutral 1 compatible 3 up orange U U 1 962 497 583 773 891 s s 1 535
OGWM_107 sess_2 PFC_cTBS 1 14 neutral 2 incompatible 4 down green L L 1 1640 1191 1209 1277 1359 d d 1 910
OGWM_107 sess_2 PFC_cTBS 1 15 neutral 1 compatible 3 up orange U U 1 1184 591 609 955 1089 s s 1 438
OGWM_107 sess_2 PFC_cTBS 1 16 neutral 2 incompatible 4 down orange U U 1 908 491 559 783 899 d d 1 521
OGWM_107 sess_2 PFC_cTBS 1 17 neutral 1 compatible 3 up orange U U 1 866 489 507 663 865 s s 1 872
OGWM_107 sess_2 PFC_cTBS 1 18 neutral 1 compatible 1 left green L L 1 940 459 511 705 839 s s 1 761
OGWM_107 sess_2 PFC_cTBS 1 19 neutral 1 compatible 2 right pink R R 1 1050 473 507 891 1041 s s 1 655
OGWM_107 sess_2 PFC_cTBS 1 20 neutral 2 incompatible 2 right blue D D 1 1708 635 749 941 1021 d d 1 513
OGWM_107 sess_2 PFC_cTBS 1 21 neutral 1 compatible 1 left green L L 1 820 459 477 563 593 s s 1 570
OGWM_107 sess_2 PFC_cTBS 1 22 neutral 2 incompatible 2 right orange U U 1 1322 497 513 893 923 d d 1 999
OGWM_107 sess_2 PFC_cTBS 1 23 neutral 2 incompatible 3 up blue D D 1 1278 461 479 1047 733 d d 1 580
OGWM_107 sess_2 PFC_cTBS 1 24 neutral 2 incompatible 4 down pink R R 1 972 483 533 673 737 s s 1 673
OGWM_107 sess_2 PFC_cTBS 1 25 neutral 2 incompatible 1 left blue D D 1 1284 723 789 1151 1267 d d 1 506
OGWM_107 sess_2 PFC_cTBS 1 26 neutral 1 compatible 4 down blue D D 1 836 11 367 677 No-drop d d 1 1146
OGWM_107 sess_2 PFC_cTBS 1 27 neutral 2 incompatible 3 up pink R R 1 1140 443 477 667 801 s s 1 529
OGWM_107 sess_2 PFC_cTBS 1 28 neutral 1 compatible 1 left green L L 1 898 113 421 611 691 d d 1 712
OGWM_107 sess_2 PFC_cTBS 1 29 neutral 2 incompatible 3 up pink R R 1 946 297 367 765 No-drop s s 1 624
OGWM_107 sess_2 PFC_cTBS 1 30 neutral 2 incompatible 4 down green L L 1 1070 509 543 903 985 s s 1 995
OGWM_107 sess_2 PFC_cTBS 1 31 neutral 1 compatible 2 right pink R R 1 914 249 461 581 699 d d 1 672
OGWM_107 sess_2 PFC_cTBS 1 32 neutral 1 compatible 4 down blue D D 1 900 499 587 689 771 s s 1 921
OGWM_107 sess_2 PFC_cTBS 1 33 neutral 2 incompatible 1 left orange U U 1 1220 507 557 1025 1211 d d 1 793
OGWM_107 sess_2 PFC_cTBS 1 34 neutral 1 compatible 4 down blue D D 1 904 351 545 719 887 s s 1 853
OGWM_107 sess_2 PFC_cTBS 1 35 neutral 2 incompatible 3 up blue D D 1 1802 529 563 1363 801 d d 1 559
OGWM_107 sess_2 PFC_cTBS 1 36 neutral 2 incompatible 4 down green L L 1 1008 391 483 845 911 d d 1 709
OGWM_107 sess_2 PFC_cTBS 2 1 neutral 2 incompatible 2 right blue D D 1 1328 463 549 1233 1313 s s 1 861
OGWM_107 sess_2 PFC_cTBS 2 2 neutral 2 incompatible 2 right green L L 1 1537 18 540 1400 1482 s s 1 688
OGWM_107 sess_2 PFC_cTBS 2 3 neutral 2 incompatible 1 left orange U U 1 1530 585 653 1181 1367 d d 1 1527
OGWM_107 sess_2 PFC_cTBS 2 4 neutral 1 compatible 2 right pink R R 1 1010 489 523 593 777 s s 1 782
OGWM_107 sess_2 PFC_cTBS 2 5 neutral 2 incompatible 1 left orange U U 1 846 445 479 601 683 d d 1 459
OGWM_107 sess_2 PFC_cTBS 2 6 neutral 2 incompatible 1 left pink R R 1 968 487 521 713 793 d d 1 965
OGWM_107 sess_2 PFC_cTBS 2 7 neutral 2 incompatible 1 left blue D D 1 942 485 501 761 No-drop s s 1 611
OGWM_107 sess_2 PFC_cTBS 2 8 neutral 2 incompatible 4 down pink R R 1 938 425 459 769 903 d d 1 943
OGWM_107 sess_2 PFC_cTBS 2 9 neutral 2 incompatible 3 up green L L 1 864 503 537 641 827 d d 1 1189
OGWM_107 sess_2 PFC_cTBS 2 10 neutral 2 incompatible 4 down orange U U 1 1356 571 589 1103 1201 d d 1 786
OGWM_107 sess_2 PFC_cTBS 2 11 neutral 1 compatible 3 up orange U U 1 1026 569 585 811 961 s s 1 774
OGWM_107 sess_2 PFC_cTBS 2 12 neutral 1 compatible 4 down blue D D 1 1222 381 433 975 741 d d 1 1092
OGWM_107 sess_2 PFC_cTBS 2 13 neutral 1 compatible 2 right pink R R 1 968 535 569 725 823 d d 1 717
OGWM_107 sess_2 PFC_cTBS 2 14 neutral 2 incompatible 4 down pink R R 1 782 461 479 703 733 d d 1 780
OGWM_107 sess_2 PFC_cTBS 2 15 neutral 1 compatible 2 right pink R R 1 708 395 429 533 651 d d 1 514
OGWM_107 sess_2 PFC_cTBS 2 16 neutral 1 compatible 3 up orange U U 1 796 203 421 663 763 d d 1 786
OGWM_107 sess_2 PFC_cTBS 2 17 neutral 1 compatible 1 left green L L 1 1176 383 611 961 1079 s s 1 886
OGWM_107 sess_2 PFC_cTBS 2 18 neutral 1 compatible 1 left green L L 1 794 25 283 497 561 s s 1 607
OGWM_107 sess_2 PFC_cTBS 2 19 neutral 2 incompatible 4 down pink R R 1 1222 317 403 833 915 d d 1 546
OGWM_107 sess_2 PFC_cTBS 2 20 neutral 1 compatible 4 down blue D D 1 1476 787 821 873 1275 d d 1 602
OGWM_107 sess_2 PFC_cTBS 2 21 neutral 1 compatible 2 right pink R R 1 744 175 243 513 645 d d 1 533
OGWM_107 sess_2 PFC_cTBS 2 22 neutral 1 compatible 3 up orange U U 1 942 125 415 759 927 s s 1 828
OGWM_107 sess_2 PFC_cTBS 2 23 neutral 1 compatible 2 right pink R R 1 1146 529 547 615 851 s s 1 847
OGWM_107 sess_2 PFC_cTBS 2 24 neutral 2 incompatible 4 down pink R R 1 820 443 495 583 681 d d 1 1370
OGWM_107 sess_2 PFC_cTBS 2 25 neutral 2 incompatible 3 up blue D D 1 890 505 523 643 759 s s 1 808
OGWM_107 sess_2 PFC_cTBS 2 26 neutral 2 incompatible 4 down green L L 1 1150 597 631 931 1099 s s 1 891
OGWM_107 sess_2 PFC_cTBS 2 27 neutral 1 compatible 1 left green L L 1 1046 653 689 869 951 s s 1 708
OGWM_107 sess_2 PFC_cTBS 2 28 neutral 1 compatible 1 left green L L 1 1134 509 527 911 911 d d 1 1132
OGWM_107 sess_2 PFC_cTBS 2 29 neutral 2 incompatible 3 up green L  0 Time-out 69 187 1905 875 d d 1 666
OGWM_107 sess_2 PFC_cTBS 2 30 neutral 1 compatible 3 up orange U U 1 1311 486 502 1110 1174 s s 1 667
OGWM_107 sess_2 PFC_cTBS 2 31 neutral 2 incompatible 2 right orange U U 1 920 471 585 671 821 s s 1 1397
OGWM_107 sess_2 PFC_cTBS 2 32 neutral 2 incompatible 3 up pink R R 1 1108 483 501 603 685 s s 1 457
OGWM_107 sess_2 PFC_cTBS 2 33 neutral 2 incompatible 3 up green L L 1 1006 509 527 863 961 s s 1 692
OGWM_107 sess_2 PFC_cTBS 2 34 neutral 1 compatible 4 down blue D D 1 1022 613 631 821 1007 s s 1 916
OGWM_107 sess_2 PFC_cTBS 2 35 neutral 1 compatible 1 left green L L 1 886 541 559 645 727 d d 1 596
OGWM_107 sess_2 PFC_cTBS 2 36 neutral 1 compatible 2 right pink R R 1 1026 529 581 893 993 s s 1 856
OGWM_107 sess_2 PFC_cTBS 3 1 neutral 2 incompatible 3 up green L L 1 1180 17 573 951 999 d d 1 777
OGWM_107 sess_2 PFC_cTBS 3 2 neutral 1 compatible 4 down blue D D 1 1330 129 613 1025 1141 d d 1 719
OGWM_107 sess_2 PFC_cTBS 3 3 neutral 2 incompatible 3 up green L L 1 1128 279 611 765 951 d d 1 526
OGWM_107 sess_2 PFC_cTBS 3 4 neutral 2 incompatible 3 up green L L 1 864 423 475 611 677 d d 1 781
OGWM_107 sess_2 PFC_cTBS 3 5 neutral 2 incompatible 1 left blue D D 1 1174 573 607 865 1017 s s 1 987
OGWM_107 sess_2 PFC_cTBS 3 6 neutral 2 incompatible 1 left blue D D 1 1090 481 533 965 1083 d d 1 575
OGWM_107 sess_2 PFC_cTBS 3 7 neutral 1 compatible 3 up orange U U 1 968 479 513 773 871 d d 1 972
OGWM_107 sess_2 PFC_cTBS 3 8 neutral 2 incompatible 2 right orange U U 1 844 499 517 621 737 d d 1 722
OGWM_107 sess_2 PFC_cTBS 3 9 neutral 1 compatible 2 right pink R R 1 924 507 629 733 883 d d 1 786
OGWM_107 sess_2 PFC_cTBS 3 10 neutral 2 incompatible 1 left orange U U 1 832 439 491 647 799 d d 1 1070
OGWM_107 sess_2 PFC_cTBS 3 11 neutral 1 compatible 2 right pink R R 1 826 433 451 589 671 s NA 0 9999000
OGWM_107 sess_2 PFC_cTBS 3 12 neutral 1 compatible 2 right pink R R 1 806 485 503 571 791 d d 1 435
OGWM_107 sess_2 PFC_cTBS 3 13 neutral 2 incompatible 3 up green L L 1 992 271 505 729 777 s s 1 494
OGWM_107 sess_2 PFC_cTBS 3 14 neutral 1 compatible 4 down blue D D 1 1282 129 477 1047 1129 s s 1 727
OGWM_107 sess_2 PFC_cTBS 3 15 neutral 1 compatible 4 down blue D D 1 976 15 507 799 951 s s 1 742
OGWM_107 sess_2 PFC_cTBS 3 16 neutral 1 compatible 1 left green L L 1 912 7 507 627 691 d d 1 845
OGWM_107 sess_2 PFC_cTBS 3 17 neutral 2 incompatible 4 down pink R R 1 922 545 563 667 731 s s 1 768
OGWM_107 sess_2 PFC_cTBS 3 18 neutral 2 incompatible 1 left pink R R 1 792 7 451 607 757 s s 1 685
