subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_115 sess_1 PFC_iTBS 1 1 neutral 1 compatible 2 right pink R R 1 1018 544 597 801 1001 d d 1 871
OGWM_115 sess_1 PFC_iTBS 1 2 neutral 2 incompatible 1 left blue D D 1 868 554 589 777 842 d d 1 849
OGWM_115 sess_1 PFC_iTBS 1 3 neutral 2 incompatible 3 up pink R R 1 1030 197 689 845 943 s s 1 563
OGWM_115 sess_1 PFC_iTBS 1 4 neutral 1 compatible 3 up orange U U 1 812 523 541 677 811 d d 1 728
OGWM_115 sess_1 PFC_iTBS 1 5 neutral 1 compatible 3 up orange U U 1 772 179 517 639 755 s s 1 921
OGWM_115 sess_1 PFC_iTBS 1 6 neutral 1 compatible 4 down blue D D 1 978 9 483 863 963 d d 1 695
OGWM_115 sess_1 PFC_iTBS 1 7 neutral 2 incompatible 3 up green L L 1 970 625 677 849 965 s s 1 767
OGWM_115 sess_1 PFC_iTBS 1 8 neutral 2 incompatible 4 down orange U U 1 872 551 603 843 No-drop s s 1 757
OGWM_115 sess_1 PFC_iTBS 1 9 neutral 2 incompatible 2 right orange U U 1 1294 789 875 1203 No-drop d d 1 819
OGWM_115 sess_1 PFC_iTBS 1 10 neutral 2 incompatible 1 left blue D D 1 728 391 427 547 681 d d 1 838
OGWM_115 sess_1 PFC_iTBS 1 11 neutral 1 compatible 1 left green L L 1 836 523 557 661 707 d d 1 602
OGWM_115 sess_1 PFC_iTBS 1 12 neutral 1 compatible 4 down blue D D 1 856 9 209 771 No-drop d d 1 613
OGWM_115 sess_1 PFC_iTBS 1 13 neutral 1 compatible 3 up orange U U 1 668 363 397 535 No-drop s s 1 809
OGWM_115 sess_1 PFC_iTBS 1 14 neutral 1 compatible 4 down blue D D 1 968 599 651 841 No-drop s s 1 645
OGWM_115 sess_1 PFC_iTBS 1 15 neutral 1 compatible 4 down blue D D 1 954 529 565 823 941 s s 1 712
OGWM_115 sess_1 PFC_iTBS 1 16 neutral 1 compatible 2 right pink R R 1 1122 593 663 957 1107 s s 1 640
OGWM_115 sess_1 PFC_iTBS 1 17 neutral 2 incompatible 4 down orange U U 1 814 381 523 677 811 d d 1 755
OGWM_115 sess_1 PFC_iTBS 1 18 neutral 2 incompatible 1 left blue D D 1 900 203 627 801 899 d d 1 577
OGWM_115 sess_1 PFC_iTBS 1 19 neutral 1 compatible 2 right pink R R 1 1224 639 709 1123 No-drop d d 1 638
OGWM_115 sess_1 PFC_iTBS 1 20 neutral 2 incompatible 1 left blue D D 1 1244 451 679 1179 No-drop s s 1 569
OGWM_115 sess_1 PFC_iTBS 1 21 neutral 1 compatible 1 left green L L 1 936 615 651 913 No-drop s s 1 590
OGWM_115 sess_1 PFC_iTBS 1 22 neutral 1 compatible 3 up orange U U 1 1596 451 619 877 1045 d d 1 866
OGWM_115 sess_1 PFC_iTBS 1 23 neutral 2 incompatible 3 up blue D D 1 966 557 627 833 No-drop s s 1 747
OGWM_115 sess_1 PFC_iTBS 1 24 neutral 2 incompatible 2 right blue D D 1 1052 675 727 935 1033 s s 1 826
OGWM_115 sess_1 PFC_iTBS 1 25 neutral 1 compatible 4 down blue D D 1 976 615 631 785 953 d d 1 1117
OGWM_115 sess_1 PFC_iTBS 1 26 neutral 2 incompatible 2 right green L L 1 846 325 561 717 833 s s 1 692
