subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_117 sess_3 PFC_cTBS 1 1 neutral 2 incompatible 3 up pink R R 1 1061 25 564 877 698 s s 1 550
OGWM_117 sess_3 PFC_cTBS 1 2 neutral 2 incompatible 1 left blue D D 1 1010 496 530 788 No-drop s s 1 685
OGWM_117 sess_3 PFC_cTBS 1 3 neutral 1 compatible 1 left green L L 1 913 568 586 673 788 s s 1 734
OGWM_117 sess_3 PFC_cTBS 1 4 neutral 2 incompatible 3 up green L L 1 1024 471 505 885 985 s s 1 421
OGWM_117 sess_3 PFC_cTBS 1 5 neutral 1 compatible 1 left green L L 1 810 65 391 649 649 d d 1 704
OGWM_117 sess_3 PFC_cTBS 1 6 neutral 2 incompatible 4 down pink R R 1 1018 697 733 783 865 s s 1 632
OGWM_117 sess_3 PFC_cTBS 1 7 neutral 2 incompatible 1 left pink R R 1 1214 661 729 953 1051 s s 1 531
OGWM_117 sess_3 PFC_cTBS 1 8 neutral 1 compatible 2 right pink R R 1 940 475 509 701 921 d d 1 737
OGWM_117 sess_3 PFC_cTBS 1 9 neutral 2 incompatible 1 left blue D D 1 914 465 501 673 893 d d 1 535
OGWM_117 sess_3 PFC_cTBS 1 10 neutral 2 incompatible 2 right blue D D 1 1322 11 515 1155 1271 s s 1 648
OGWM_117 sess_3 PFC_cTBS 1 11 neutral 2 incompatible 4 down orange U U 1 804 291 511 615 713 s s 1 898
OGWM_117 sess_3 PFC_cTBS 1 12 neutral 1 compatible 3 up orange U U 1 1108 435 543 873 973 d d 1 610
OGWM_117 sess_3 PFC_cTBS 1 13 neutral 1 compatible 3 up orange U U 1 1192 223 529 617 715 s s 1 613
OGWM_117 sess_3 PFC_cTBS 1 14 neutral 2 incompatible 2 right orange U U 1 908 235 565 721 733 d s 0 874
OGWM_117 sess_3 PFC_cTBS 1 15 neutral 1 compatible 4 down blue D D 1 998 485 519 571 601 d d 1 940
OGWM_117 sess_3 PFC_cTBS 1 16 neutral 1 compatible 2 right pink R R 1 1060 411 595 923 1039 s s 1 705
OGWM_117 sess_3 PFC_cTBS 1 17 neutral 2 incompatible 4 down green L L 1 924 19 581 719 801 d d 1 561
OGWM_117 sess_3 PFC_cTBS 1 18 neutral 1 compatible 4 down blue D D 1 882 465 517 673 857 d d 1 736
OGWM_117 sess_3 PFC_cTBS 1 19 neutral 1 compatible 4 down blue D D 1 856 455 507 611 829 d d 1 878
OGWM_117 sess_3 PFC_cTBS 1 20 neutral 2 incompatible 4 down pink R R 1 986 329 603 723 839 s s 1 727
OGWM_117 sess_3 PFC_cTBS 1 21 neutral 2 incompatible 3 up blue D D 1 1274 665 733 819 1109 s s 1 896
OGWM_117 sess_3 PFC_cTBS 1 22 neutral 1 compatible 1 left green L L 1 738 257 479 565 665 d d 1 928
OGWM_117 sess_3 PFC_cTBS 1 23 neutral 1 compatible 1 left green L L 1 1360 967 1123 1175 1261 s s 1 751
OGWM_117 sess_3 PFC_cTBS 1 24 neutral 2 incompatible 2 right green L L 1 768 151 361 575 761 s s 1 716
OGWM_117 sess_3 PFC_cTBS 1 25 neutral 1 compatible 4 down blue D D 1 726 293 361 535 687 d d 1 797
OGWM_117 sess_3 PFC_cTBS 1 26 neutral 1 compatible 3 up orange U U 1 972 523 579 875 875 d d 1 785
OGWM_117 sess_3 PFC_cTBS 1 27 neutral 1 compatible 3 up orange U U 1 952 23 449 691 859 d d 1 1646
OGWM_117 sess_3 PFC_cTBS 1 28 neutral 1 compatible 1 left green L L 1 930 449 555 659 729 d d 1 753
OGWM_117 sess_3 PFC_cTBS 1 29 neutral 1 compatible 2 right pink R R 1 1098 809 825 911 941 s s 1 1078
OGWM_117 sess_3 PFC_cTBS 1 30 neutral 2 incompatible 3 up green L L 1 1034 11 45 757 839 s s 1 823
OGWM_117 sess_3 PFC_cTBS 1 31 neutral 2 incompatible 2 right orange U U 1 1254 709 727 1109 1207 d d 1 851
OGWM_117 sess_3 PFC_cTBS 1 32 neutral 2 incompatible 1 left pink R R 1 1808 511 563 1727 849 d s 0 1580
OGWM_117 sess_3 PFC_cTBS 1 33 neutral 2 incompatible 4 down orange U U 1 1052 3 317 779 779 s s 1 657
OGWM_117 sess_3 PFC_cTBS 1 34 neutral 2 incompatible 2 right orange U U 1 1038 37 383 789 567 d d 1 947
OGWM_117 sess_3 PFC_cTBS 1 35 neutral 1 compatible 3 up orange U U 1 1140 547 581 1035 1115 d d 1 698
OGWM_117 sess_3 PFC_cTBS 1 36 neutral 1 compatible 2 right pink R R 1 908 539 573 677 707 s s 1 370
OGWM_117 sess_3 PFC_cTBS 2 1 invalid 2 incompatible 2 right blue D D 1 1304 807 843 911 1203 s s 1 574
OGWM_117 sess_3 PFC_cTBS 2 2 invalid 1 compatible 3 up orange U U 1 791 454 488 556 758 d d 1 531
OGWM_117 sess_3 PFC_cTBS 2 3 invalid 2 incompatible 2 right green L L 1 836 283 437 507 727 d d 1 1106
OGWM_117 sess_3 PFC_cTBS 2 4 invalid 2 incompatible 2 right green L L 1 852 435 453 747 847 d d 1 890
OGWM_117 sess_3 PFC_cTBS 2 5 invalid 2 incompatible 1 left pink R R 1 1004 11 667 805 991 s s 1 474
OGWM_117 sess_3 PFC_cTBS 2 6 invalid 1 compatible 3 up orange U U 1 638 349 385 453 535 s s 1 451
OGWM_117 sess_3 PFC_cTBS 2 7 invalid 2 incompatible 4 down green L L 1 896 407 425 805 887 s s 1 454
OGWM_117 sess_3 PFC_cTBS 2 8 invalid 2 incompatible 1 left orange U U 1 642 313 381 459 567 d d 1 592
OGWM_117 sess_3 PFC_cTBS 2 9 invalid 2 incompatible 2 right blue D D 1 1064 487 503 573 671 d d 1 780
OGWM_117 sess_3 PFC_cTBS 2 10 invalid 2 incompatible 1 left blue D D 1 948 331 519 589 865 s s 1 490
OGWM_117 sess_3 PFC_cTBS 2 11 invalid 2 incompatible 2 right green L L 1 878 557 591 729 No-drop s s 1 731
OGWM_117 sess_3 PFC_cTBS 2 12 invalid 2 incompatible 2 right blue D D 1 884 19 191 725 841 d d 1 617
OGWM_117 sess_3 PFC_cTBS 2 13 invalid 2 incompatible 4 down orange U U 1 1352 375 921 973 1285 d d 1 766
OGWM_117 sess_3 PFC_cTBS 2 14 invalid 2 incompatible 3 up pink R R 1 980 523 541 575 867 s s 1 603
OGWM_117 sess_3 PFC_cTBS 2 15 invalid 2 incompatible 4 down pink R R 1 1992 615 771 1945 1021 s s 1 725
OGWM_117 sess_3 PFC_cTBS 2 16 invalid 2 incompatible 4 down orange U U 1 968 535 553 603 703 s s 1 534
OGWM_117 sess_3 PFC_cTBS 2 17 invalid 2 incompatible 3 up pink R R 1 878 101 119 793 859 s s 1 507
OGWM_117 sess_3 PFC_cTBS 2 18 invalid 2 incompatible 4 down orange U U 1 1214 413 953 1057 1139 s s 1 620
OGWM_117 sess_3 PFC_cTBS 2 19 invalid 2 incompatible 2 right blue D D 1 850 489 507 643 795 s s 1 575
OGWM_117 sess_3 PFC_cTBS 2 20 invalid 2 incompatible 1 left blue D D 1 1382 509 545 1205 1339 d d 1 693
OGWM_117 sess_3 PFC_cTBS 2 21 invalid 2 incompatible 4 down green L L 1 880 487 573 711 793 d d 1 542
OGWM_117 sess_3 PFC_cTBS 2 22 invalid 2 incompatible 1 left orange U U 1 798 101 391 581 611 d d 1 788
OGWM_117 sess_3 PFC_cTBS 2 23 invalid 1 compatible 3 up orange U U 1 1036 595 699 837 901 s s 1 633
OGWM_117 sess_3 PFC_cTBS 2 24 invalid 2 incompatible 3 up green L L 1 1062 581 615 913 1047 d d 1 1475
OGWM_117 sess_3 PFC_cTBS 2 25 invalid 2 incompatible 2 right blue D D 1 976 71 459 511 877 d d 1 1045
OGWM_117 sess_3 PFC_cTBS 2 26 invalid 2 incompatible 2 right blue D D 1 682 377 395 463 545 s s 1 808
OGWM_117 sess_3 PFC_cTBS 2 27 invalid 2 incompatible 4 down orange U U 1 1222 581 823 875 1041 s s 1 667
OGWM_117 sess_3 PFC_cTBS 2 28 invalid 2 incompatible 1 left blue D D 1 784 17 375 569 633 d d 1 773
OGWM_117 sess_3 PFC_cTBS 2 29 invalid 2 incompatible 1 left pink R R 1 1566 453 767 1027 1109 d d 1 658
OGWM_117 sess_3 PFC_cTBS 2 30 invalid 1 compatible 3 up orange U U 1 1198 509 545 1077 1193 d d 1 1196
OGWM_117 sess_3 PFC_cTBS 2 31 invalid 2 incompatible 4 down green L L 1 1084 259 551 639 975 d d 1 666
OGWM_117 sess_3 PFC_cTBS 2 32 invalid 2 incompatible 3 up blue D D 1 1844 371 749 1783 1783 s s 1 762
OGWM_117 sess_3 PFC_cTBS 2 33 invalid 1 compatible 3 up orange U U 1 1170 745 833 1095 No-drop s s 1 696
OGWM_117 sess_3 PFC_cTBS 2 34 invalid 1 compatible 1 left green L L 1 1012 515 531 909 991 d d 1 697
OGWM_117 sess_3 PFC_cTBS 2 35 invalid 1 compatible 4 down blue D D 1 764 291 325 549 719 s s 1 681
OGWM_117 sess_3 PFC_cTBS 2 36 invalid 2 incompatible 1 left blue D D 1 1508 371 407 1417 799 d d 1 994
OGWM_117 sess_3 PFC_cTBS 3 1 invalid 2 incompatible 3 up blue D D 1 936 503 539 797 931 d d 1 799
OGWM_117 sess_3 PFC_cTBS 3 2 invalid 2 incompatible 1 left blue D D 1 964 91 487 607 809 d d 1 538
OGWM_117 sess_3 PFC_cTBS 3 3 invalid 2 incompatible 4 down green L L 1 1092 491 615 735 783 s s 1 720
OGWM_117 sess_3 PFC_cTBS 3 4 invalid 2 incompatible 3 up pink R R 1 1156 659 675 1037 1119 s s 1 456
OGWM_117 sess_3 PFC_cTBS 3 5 invalid 2 incompatible 4 down green L L 1 1436 523 687 773 837 d d 1 1130
OGWM_117 sess_3 PFC_cTBS 3 6 invalid 2 incompatible 2 right blue D D 1 1092 667 767 1039 No-drop s s 1 529
OGWM_117 sess_3 PFC_cTBS 3 7 invalid 2 incompatible 1 left blue D D 1 780 355 423 533 731 s s 1 440
OGWM_117 sess_3 PFC_cTBS 3 8 invalid 1 compatible 3 up orange U U 1 1030 589 607 693 757 s s 1 659
OGWM_117 sess_3 PFC_cTBS 3 9 invalid 2 incompatible 1 left pink R R 1 920 503 593 697 761 s s 1 453
OGWM_117 sess_3 PFC_cTBS 3 10 invalid 2 incompatible 3 up green L L 1 770 433 509 595 695 d d 1 975
OGWM_117 sess_3 PFC_cTBS 3 11 invalid 2 incompatible 1 left blue D D 1 712 15 347 485 603 d d 1 917
OGWM_117 sess_3 PFC_cTBS 3 12 invalid 2 incompatible 4 down pink R R 1 1358 453 487 539 621 d d 1 940
OGWM_117 sess_3 PFC_cTBS 3 13 invalid 2 incompatible 2 right green L L 1 814 357 529 651 699 d d 1 618
OGWM_117 sess_3 PFC_cTBS 3 14 invalid 1 compatible 2 right pink R R 1 1064 639 675 963 1061 d d 1 767
OGWM_117 sess_3 PFC_cTBS 3 15 invalid 2 incompatible 4 down green L L 1 1102 533 551 941 1057 s s 1 643
OGWM_117 sess_3 PFC_cTBS 3 16 invalid 1 compatible 4 down blue D D 1 1072 663 681 733 851 s s 1 726
OGWM_117 sess_3 PFC_cTBS 3 17 invalid 1 compatible 2 right pink R R 1 872 511 529 597 661 d d 1 934
OGWM_117 sess_3 PFC_cTBS 3 18 invalid 2 incompatible 1 left blue D D 1 998 485 503 849 No-drop d d 1 645
OGWM_117 sess_3 PFC_cTBS 3 19 invalid 2 incompatible 4 down pink R R 1 1890 657 675 779 825 d d 1 590
OGWM_117 sess_3 PFC_cTBS 3 20 invalid 2 incompatible 4 down orange U U 1 1126 725 759 985 1117 d d 1 595
OGWM_117 sess_3 PFC_cTBS 3 21 invalid 1 compatible 2 right pink R R 1 1154 785 803 889 935 d d 1 688
OGWM_117 sess_3 PFC_cTBS 3 22 invalid 2 incompatible 3 up blue D D 1 964 507 525 559 659 d d 1 816
OGWM_117 sess_3 PFC_cTBS 3 23 invalid 2 incompatible 2 right green L L 1 1080 487 503 537 827 s s 1 708
OGWM_117 sess_3 PFC_cTBS 3 24 invalid 2 incompatible 1 left blue D D 1 910 453 523 713 No-drop s s 1 444
OGWM_117 sess_3 PFC_cTBS 3 25 invalid 2 incompatible 4 down green L L 1 1026 561 595 905 987 s s 1 758
OGWM_117 sess_3 PFC_cTBS 3 26 invalid 1 compatible 2 right pink R R 1 856 519 553 605 669 s s 1 693
OGWM_117 sess_3 PFC_cTBS 3 27 invalid 2 incompatible 1 left orange U U 1 1568 119 427 1469 717 d d 1 646
OGWM_117 sess_3 PFC_cTBS 3 28 invalid 2 incompatible 3 up green L L 1 1306 537 555 589 1205 d d 1 568
OGWM_117 sess_3 PFC_cTBS 3 29 invalid 2 incompatible 1 left blue D D 1 800 511 529 581 697 s s 1 389
OGWM_117 sess_3 PFC_cTBS 3 30 invalid 2 incompatible 2 right blue D D 1 852 427 445 721 No-drop s s 1 746
OGWM_117 sess_3 PFC_cTBS 3 31 invalid 2 incompatible 4 down orange U U 1 1250 625 643 1007 1123 s s 1 688
OGWM_117 sess_3 PFC_cTBS 3 32 invalid 2 incompatible 3 up pink R R 1 1492 859 893 1119 1339 s s 1 594
OGWM_117 sess_3 PFC_cTBS 3 33 invalid 2 incompatible 3 up pink R R 1 1080 543 561 1001 No-drop s s 1 613
OGWM_117 sess_3 PFC_cTBS 3 34 invalid 1 compatible 3 up orange U U 1 1188 47 145 1043 1175 s s 1 665
