,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT,trial_count,correction_proportion,correction_proportion_1_4
21,OGWM_103,PFC_cTBS,incompatible,invalid,375,42429.0,63981.0,57923.0,78626.0,75,60427,72,6.0,17.0,-269.02643638388736,358.1344391251604,1028.3936671951153,1985.217799361134,36197.0,84.0,0.07142857142857142,0.20238095238095238
22,OGWM_103,PFC_cTBS,incompatible,neutral,259,26679.0,39950.0,38246.0,49705.0,50,36206,49,7.0,9.0,2184.8895657616745,2321.4416749655115,1150.4922430827824,1320.9428968641992,23026.0,54.0,0.12962962962962962,0.16666666666666666
23,OGWM_103,PFC_cTBS,incompatible,valid,94,11386.0,17126.0,17116.0,20904.0,20,14393,20,4.0,5.0,810.5785048681902,-386.2301924040883,494.50313668653837,621.658024863626,9518.0,23.0,0.17391304347826086,0.21739130434782608
24,OGWM_103,PFC_iTBS,compatible,invalid,128,11356.0,17590.0,15998.0,22178.0,24,17026,24,1.0,3.0,1150.2823674624144,599.9803774616508,237.9326008919058,420.7403921241523,10822.0,24.0,0.041666666666666664,0.125
25,OGWM_103,PFC_iTBS,compatible,neutral,147,23488.0,34767.0,38158.0,45529.0,49,34682,49,4.0,8.0,1063.397522093747,1221.4802494252704,535.6898517891489,922.5992764169678,22041.0,54.0,0.07407407407407407,0.14814814814814814
26,OGWM_103,PFC_iTBS,compatible,valid,531,38282.0,58994.0,58647.0,75088.0,80,55607,78,7.0,16.0,4504.796927144237,3141.3915428753958,1132.5010353901168,1847.8461631673206,36806.0,84.0,0.08333333333333333,0.19047619047619047
27,OGWM_103,PFC_iTBS,incompatible,invalid,406,38879.0,59367.0,65103.0,76879.0,76,53784,74,12.0,21.0,2334.0873131614253,574.516255104123,1529.3588203232825,2564.017513509422,38000.0,84.0,0.14285714285714285,0.25
28,OGWM_103,PFC_iTBS,incompatible,neutral,161,28329.0,42235.0,43688.0,53198.0,53,35973,53,7.0,13.0,4399.253486098744,3314.0625035633325,965.0555093732593,1604.1308106328513,24869.0,54.0,0.12962962962962962,0.24074074074074073
29,OGWM_103,PFC_iTBS,incompatible,valid,151,10579.0,18019.0,16832.0,22484.0,23,16080,23,5.0,6.0,773.0888735126176,856.4603737419158,712.1658737756561,943.2026453703987,11905.0,24.0,0.20833333333333334,0.25
30,OGWM_103,no_TMS,compatible,invalid,70,10516.0,16492.0,15889.0,21299.0,23,15356,23,2.0,5.0,-704.7316753113404,-836.6637905452264,335.43328006596676,665.9342008830447,10783.0,23.0,0.08695652173913043,0.21739130434782608
